FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent
21015,0.7,5.8,17.5,82.8,69.6,48198,669
21017,0.5,5.1,23.2,82.4,66,46847,692
21019,0.4,4.1,26.6,83.5,64.1,47729,606
21021,0.2,,,,,,
21029,0.3,,,,,,
21031,0.5,,,,,,
21033,0.6,,,,,,
21035,0.8,6.2,23.4,82,66.7,38940,721
21037,0.7,4,20,83.5,59,37291,552
21041,0.4,,,,,,
21047,0.6,2.6,15.8,85.6,60.5,38603,535
21055,0.9,3.1,14.9,91.2,43.1,25209,482
21057,0.7,3.5,23.9,88.3,70.9,65042,848
21059,0.8,,,,,,
21061,0.8,5.7,24.9,87.1,51.1,38933,595
21067,0.6,4.8,19.5,79.2,57.4,39101,635
21071,0.7,4.7,23,87.1,68.1,53748,754
21073,0.9,,,,,,
21081,0.5,,,,,,
21083,0.5,8.4,21.4,79.9,62.7,40304,524
21085,0.7,5,21.4,85,68.2,53080,706
21087,0.6,,,,,,
21093,0.5,3.3,28.6,76.5,62.3,37463,742
21095,0.7,,,,,,
21097,0.7,,,,,,
21099,0.5,4.4,20.4,88,61.2,44858,618
21101,0.8,,,,,,
21107,0.6,8.9,20.5,75.8,69,47785,737
21109,0.8,3.2,19.9,87.4,41.9,27788,551
21111,0.6,5.7,21.9,80.9,60.2,44972,685
21113,0.7,3.6,21.5,88.4,63.1,46813,678
21117,0.5,2.1,19.4,90.4,56.9,36927,557
21121,0.6,4.5,19.2,83,55.3,34020,511
21135,0.6,,,,,,
21145,0.7,4.3,24.4,76.8,65.6,47469,721
21151,0.8,2.9,15.1,91.4,38.4,25718,491
21161,0.7,,,,,,
21173,0.6,,,,,,
21177,0.6,4.3,21.1,83.9,60.3,39947,580
21179,0.9,,,,,,
21183,0.6,4.3,21.4,86.3,58.5,40979,585
21185,0.5,,,,,,
21193,0.7,5.8,22.9,85.6,65.8,45482,707
21203,0.7,5.2,20.5,80.4,65.3,46522,711
21211,0.6,6,22.5,85.3,67.7,52555,724
21217,0.8,2.3,14,86.7,44.2,26047,513
